,crystal_name,RealCrystalName,smiles,new_smiles,alternate_name,site_name,pdb_entry
0,D68EV3CPROA-x0102_0B,D68EV3CPROA-x0102,Cc1ccsc1C(=O)O,Cc1ccsc1C(=O)O,Z104474228,5 - Random locations,None
1,D68EV3CPROA-x0102_1B,D68EV3CPROA-x0102,Cc1ccsc1C(=O)O,Cc1ccsc1C(=O)O,Z104474228,2 - R-19 & Y-48 pocket (Chain B only),None
2,D68EV3CPROA-x0105_0A,D68EV3CPROA-x0105,COc1cc(cc(OC)c1OC)C(=O)O,COc1cc(cc(OC)c1OC)C(=O)O,Z104475702,5 - Random locations,None
3,D68EV3CPROA-x0117_0A,D68EV3CPROA-x0117,O=S(=O)(NC1CCCC1)C2CCOCC2,O=S(=O)(NC1CCCC1)C2CCOCC2,Z1082839290,5 - Random locations,None
4,D68EV3CPROA-x0118_0A,D68EV3CPROA-x0118,CCC(=O)Nc1c(oc2ccccc12)C(=O)N,CCC(=O)Nc1c(oc2ccccc12)C(=O)N,Z108545814,2 - R-19 & Y-48 pocket (Chain B only),None
5,D68EV3CPROA-x0128_0A,D68EV3CPROA-x0128,CC(=O)Nc1cnccc1C,CC(=O)Nc1cnccc1C,Z1129283193,3 - NCS packing interface,None
6,D68EV3CPROA-x0130_0A,D68EV3CPROA-x0130,CCNCc1cccc2[nH]ccc12,CCNCc1cccc2[nH]ccc12,Z1137725943,2 - R-19 & Y-48 pocket (Chain B only),None
7,D68EV3CPROA-x0133_0A,D68EV3CPROA-x0133,Cc1ccc(CS(=O)(=O)N)cc1F,Cc1ccc(CS(=O)(=O)N)cc1F,Z1143279263,4 - C60 both locations,None
8,D68EV3CPROA-x0133_0B,D68EV3CPROA-x0133,Cc1ccc(CS(=O)(=O)N)cc1F,Cc1ccc(CS(=O)(=O)N)cc1F,Z1143279263,4 - C60 both locations,None
9,D68EV3CPROA-x0147_0A,D68EV3CPROA-x0147,c1nnc2cnccn12,c1nnc2cnccn12,Z1182328459,4 - C60 both locations,None
10,D68EV3CPROA-x0153_0B,D68EV3CPROA-x0153,CCn1ccc(CNC)n1,CCn1ccc(CNC)n1,Z1198162455,1 - Chain A Catalytic Site C147,None
11,D68EV3CPROA-x0157_0B,D68EV3CPROA-x0157,Oc1cc(O)n2ccnc2n1,Oc1cc(O)n2ccnc2n1,Z1198233191,3 - NCS packing interface,None
