smiles,hit1,hit2,shape_tanimoto1,shape_tanimoto2,compound_set,template,inchikey
c1cncc(Cc2nc(-c3ccc4c(c3)OCO4)no2)c1,x1140_0A,x2099_0A,0.550731869594145,0.7372758820127241,x1140_0A-x2099_0A_469-P,x2099_0A,AENYLINADVYLTG-UHFFFAOYSA-N
O=C(C=Cc1ccc2c(c1)OCO2)N1CCCC(c2nnc3ccccn23)C1,x1594_0A,x1919_0A,0.9110835913312694,0.7721845756695709,x1594_0A-x1919_0A_107-P,x1594_0A,RIPQUHVEWWQNQF-MRXNPFEDSA-N
CC(F)CCNC1CCN(C(=O)CCN2CCCCC2)CC1,x1083_0A,x1071_0A,0.580841358337557,0.8182406209573092,x1083_0A-x1071_0A_487-P,x1071_0A,NVBFAIKLAWTBAD-OAHLLOKOSA-N
CCN(C(=O)Nc1cc2c(cc1C)OCO2)C(C)c1cccnc1,x1140_0A,x2099_0A,0.6386887099053271,0.7337959931910436,x1140_0A-x2099_0A_462-P,x2099_0A,ALFWMXKNEPOQPZ-CYBMUJFWSA-N
CN(Cc1ccc2c(c1)OCO2)Cc1nnc2ccccn12,x1140_0A,x1594_0A,0.5694814350618831,0.7160219103046902,x1140_0A-x1594_0A_47-P,x1594_0A,LFCRYTDYIKGMAW-UHFFFAOYSA-N
O=C(Nc1nc(-c2ccno2)cs1)c1ccn2cnnc2c1,x1594_0A,x1052_1A,0.6942294159042928,1.0,x1594_0A-x1052_1A_163-P,x1052_1A,QQZLHTSJSXHOHJ-UHFFFAOYSA-N
O=C(Cc1ccc2c(c1)OCO2)NCc1nnc2c(O)nccn12,x0147_0A,x1919_0A,0.7076658053402239,0.70525,x0147_0A-x1919_0A_23-P,x0147_0A,XGSDBJJOXAWVNG-UHFFFAOYSA-N
O=C(C=Cc1cncc(O)c1)NCCC(=O)N1CCCCC1,x1498_0A,x1071_0A,0.7512420156139106,0.7452962650940747,x1498_0A-x1071_0A_448-P,x1498_0A,QJUHVVMRDSWHLK-UHFFFAOYSA-N
Cc1cc(CS(=O)(=O)N(C)CCN2CCCCC2)no1,x1052_1A,x1083_0A,1.0,0.6124223602484472,x1052_1A-x1083_0A_462-P,x1052_1A,MJKXSFJYUGJDCV-UHFFFAOYSA-N
Cc1cc(NC(=O)NCc2nnc3ccccn23)no1,x1052_1A,x1594_0A,1.0,0.6033721397029306,x1052_1A-x1594_0A_380-P,x1052_1A,SMQZLNNZCAHQKF-UHFFFAOYSA-N
CCCC(=O)N1CCCC(CNC(=O)COc2cccnc2)C1,x1071_0A,x2099_0A,0.6806877930936479,0.7630392788151964,x1071_0A-x2099_0A_456-P,x2099_0A,OLTWRNIWTOQNTP-CQSZACIVSA-N
O=C(Nc1nnc2ccc(Br)cn12)c1ccc2c(c1)OCO2,x1594_0A,x1919_0A,0.7535490260812149,0.6998724489795919,x1594_0A-x1919_0A_105-P,x1594_0A,DLFQFXSDIQWEHS-UHFFFAOYSA-N
NCCCCCCNC(=O)c1cc(CN2CCCCC2)on1,x1052_1A,x1083_0A,1.0,0.6465281134203319,x1052_1A-x1083_0A_453-P,x1052_1A,TZRRIMQMFSQDMD-UHFFFAOYSA-N
CCCC(C)CCNC(=O)c1cc(CN2CCCCC2)on1,x1052_1A,x1083_0A,1.0,0.6610838995101912,x1052_1A-x1083_0A_390-P,x1052_1A,JSQXRLSZYOTGMP-AWEZNQCLSA-N
Cc1cc(NC(=O)NC(C)c2nnc3ccccn23)no1,x1052_1A,x1594_0A,1.0,0.6734921816827997,x1052_1A-x1594_0A_358-P,x1052_1A,SYSJBKXKPOBKJD-SECBINFHSA-N
CCCC(=O)NCC1CCN(C(=O)CCN2CCCCC2)CC1,x1083_0A,x1071_0A,0.5849211563731932,0.8185935337778337,x1083_0A-x1071_0A_475-P,x1071_0A,AKAVKIINBCHGSI-UHFFFAOYSA-N
O=C(NCCc1nnc2ccccn12)NCc1ccc2c(c1)OCO2,x1594_0A,x1919_0A,0.693516699410609,0.7453232299313285,x1594_0A-x1919_0A_102-P,x1919_0A,WFXQPQVIUKVOAU-UHFFFAOYSA-N
Cc1cc(C(=O)NCC(=O)NCCN2CCCCC2)no1,x1052_1A,x1083_0A,1.0,0.696492367651835,x1052_1A-x1083_0A_388-P,x1052_1A,CSJHUXXQLODGQA-UHFFFAOYSA-N
CCc1nnc2ccc(-c3noc(-c4ccc5c(c4)OCO5)n3)cn12,x1594_0A,x2021_0A,0.7604539095289912,0.7107741225388284,x1594_0A-x2021_0A_114-P,x1594_0A,BXIKRALWBKXIQF-UHFFFAOYSA-N
c1cncc(C2CCCC(NCc3ccc4c(c3)OCO4)C2)c1,x1498_0A,x1140_0A,0.7545201668984701,0.5631172839506173,x1498_0A-x1140_0A_438-P,x1498_0A,VMLFSSDGQWBMIF-NVXWUHKLSA-N
c1ccn2c(SCCCOc3ccc4c(c3)OCO4)nnc2c1,x1594_0A,x1140_0A,0.6598627787307033,0.6677040599801952,x1594_0A-x1140_0A_148-P,x1140_0A,FLBLANXSRRUDHA-UHFFFAOYSA-N
COCCCONC(=O)c1cc(CN2CCCCC2)on1,x1052_1A,x1083_0A,1.0,0.6425675675675676,x1052_1A-x1083_0A_309-P,x1052_1A,JDOHDLORRJAOQX-UHFFFAOYSA-N
CC(C)(C(=O)NCc1nnc2ccc(Cl)cn12)c1ccno1,x1594_0A,x1052_1A,0.6607267645003494,1.0,x1594_0A-x1052_1A_162-P,x1052_1A,FMNMDGHIWLTINV-UHFFFAOYSA-N
O=S(=O)(NC1(c2cccnc2)CCC1)c1ccc2c(c1)OCO2,x1140_0A,x2099_0A,0.6380261248185777,0.7252702702702702,x1140_0A-x2099_0A_458-P,x2099_0A,MUHVRWXLIRQJPR-UHFFFAOYSA-N
CC(Cc1ccno1)NC(=O)c1nnc2c(Br)cccn12,x1594_0A,x1052_1A,0.672652181720237,1.0,x1594_0A-x1052_1A_155-P,x1052_1A,GUDLKBSBJWTLBL-MRVPVSSYSA-N
CC(C)NC(=O)c1cc(CN2CCCCC2)on1,x1052_1A,x1083_0A,1.0,0.587535953978907,x1052_1A-x1083_0A_269-P,x1052_1A,YJSPBNRYNBYTEV-UHFFFAOYSA-N
O=C(C=Cc1ccc2c(c1)OCO2)NC1CCN(c2nccn3cnnc23)C1,x0147_0A,x2021_0A,0.765,0.7665058126782189,x0147_0A-x2021_0A_18-P,x2021_0A,MSUIVXZJDINSDP-AWEZNQCLSA-N
Cc1cc(C(=O)NCC(C)NC(=O)CCCN2CCCCC2)no1,x1052_1A,x1083_0A,1.0,0.6605772182990483,x1052_1A-x1083_0A_266-P,x1052_1A,RVDGKXITFOQDLC-CYBMUJFWSA-N
CC(COC(=O)c1ccc(C(C)(C)C)cn1)N1CCCCC1,x1498_0A,x1083_0A,0.8031379025598678,0.7179761540813206,x1498_0A-x1083_0A_498-P,x1498_0A,VFTSGAOMZFIGMU-AWEZNQCLSA-N
O=C(NCc1ccc2c(c1)OCO2)c1cn(-c2cccnc2)nn1,x1140_0A,x2099_0A,0.5473830907401672,0.7164036996735582,x1140_0A-x2099_0A_439-P,x2099_0A,PYRXSHIFCMXAFN-UHFFFAOYSA-N
O=C(CCCc1nnc2ccccn12)NCc1ccc2c(c1)OCO2,x1140_0A,x1594_0A,0.673263272826532,0.6588157240006635,x1140_0A-x1594_0A_45-P,x1140_0A,DFRAWSLJWXZBMC-UHFFFAOYSA-N
Cc1cc(CCC(=O)NCCC(=O)N2CCCCC2)no1,x1052_1A,x1083_0A,1.0,0.6059859154929578,x1052_1A-x1083_0A_223-P,x1052_1A,QGCPZGHIZSJREL-UHFFFAOYSA-N
CCc1nnc2ccc(S(=O)(=O)N(CC(=O)OC)c3ccc4c(c3)OCO4)cn12,x1594_0A,x2021_0A,0.8054898870501708,0.6281050390347764,x1594_0A-x2021_0A_113-P,x1594_0A,GOIDFOMAOXSCDL-UHFFFAOYSA-N
CC(C)(O)CCNC(=O)c1cc(CN2CCCCC2)on1,x1052_1A,x1083_0A,1.0,0.6370532703978422,x1052_1A-x1083_0A_179-P,x1052_1A,ZTYASFVHCJRIDQ-UHFFFAOYSA-N
O=C(CNS(=O)(=O)Cc1cc(C2CC2)no1)N1CCCCC1,x1071_0A,x1083_0A,0.6985325544949423,0.7728674203494348,x1071_0A-x1083_0A_94-P,x1083_0A,YKVGNYZXVIYCSI-UHFFFAOYSA-N
O=C(NCc1ccc2c(c1)OCO2)c1cccn1-c1cccnc1,x1140_0A,x2099_0A,0.5996210464946801,0.6775262286029817,x1140_0A-x2099_0A_438-P,x2099_0A,VGNGHTTYPVDFRR-UHFFFAOYSA-N
Cc1cc(C(=O)NCCC(C)NC(=O)CCN2CCCCC2)no1,x1052_1A,x1083_0A,1.0,0.6778803215242631,x1052_1A-x1083_0A_96-P,x1052_1A,KFAGSGVOJRJLAW-ZDUSSCGKSA-N
CCc1ccnc(C(=O)NC(C)CNC(=O)c2cccnc2)c1,x0980_0B,x2099_0A,0.722784136278946,0.8035893574297188,x0980_0B-x2099_0A_373-P,x2099_0A,QATBBYRDVMIEFM-LBPRGKRZSA-N
CCc1nnc2ccc(S(=O)(=O)Nc3ccc4c(c3)OCO4)cn12,x1594_0A,x2021_0A,0.7673913043478261,0.6884228812507756,x1594_0A-x2021_0A_111-P,x1594_0A,LQIMEURQJCHSLL-UHFFFAOYSA-N
CCOc1nccn2c(CNC(=O)c3ccc4c(c3)OCO4)nnc12,x0147_0A,x1140_0A,0.7466645233885227,0.6561242890830906,x0147_0A-x1140_0A_9-P,x0147_0A,AABGFICWKDHKSF-UHFFFAOYSA-N
Cc1cc(CC(=O)NCCN(C)C(=O)CN2CCCCC2)no1,x1052_1A,x1083_0A,1.0,0.5934431685804626,x1052_1A-x1083_0A_483-P,x1052_1A,AIJZQCLLMIQLRS-UHFFFAOYSA-N
CC(O)CNCC1CCN(C(=O)CCN2CCCCC2)CC1,x1083_0A,x1071_0A,0.6009991673605329,0.8104388470527136,x1083_0A-x1071_0A_463-P,x1071_0A,GMWPQDXZFOLSPC-HNNXBMFYSA-N
O=C(C=Cc1ccc2c(c1)OCO2)NCc1nnc2c(O)nccn12,x0147_0A,x1919_0A,0.7031617894382778,0.7373447946513849,x0147_0A-x1919_0A_22-P,x1919_0A,IQZWTJCFESERKL-UHFFFAOYSA-N
O=C(CCc1ccc2c(c1)OCO2)N1CCCC1c1nnc2ccccn12,x1594_0A,x1140_0A,0.6842268360706538,0.676416819012797,x1594_0A-x1140_0A_147-P,x1594_0A,BFJZIIAAZLLLAB-OAHLLOKOSA-N
CC(C)(C)c1ccc(C(=O)OCCN2CCCCC2)nc1,x1498_0A,x1083_0A,0.8515126737530663,0.7029687251944753,x1498_0A-x1083_0A_497-P,x1498_0A,NBKFBKMTZFQORH-UHFFFAOYSA-N
CCN(Cc1ccccn1)CC(O)COc1ccc2c(c1)OCO2,x1140_0A,x1498_0A,0.6339031339031339,0.7806004618937644,x1140_0A-x1498_0A_431-P,x1498_0A,DPOJPJGGJGZVKJ-OAHLLOKOSA-N
CC(CC(=O)Nc1ccc(F)cn1)c1ccc2c(c1)OCO2,x1498_0A,x1140_0A,0.785103349964362,0.5951530215939103,x1498_0A-x1140_0A_429-P,x1498_0A,BRXLSKXGQGOAEG-JTQLQIEISA-N
Cc1cc(NC(=O)NCCCN2CCCCC2)no1,x1052_1A,x1083_0A,1.0,0.576561324303988,x1052_1A-x1083_0A_468-P,x1052_1A,AVVPESNTZMYXQL-UHFFFAOYSA-N
CC(C)C(NC(=O)NCc1ccc2c(c1)OCO2)c1nnc2ccccn12,x1594_0A,x1140_0A,0.6933575978161965,0.6782574974146846,x1594_0A-x1140_0A_145-P,x1594_0A,BFRQBERXLVUTMB-QGZVFWFLSA-N
CCC(CNC(=O)c1cc(C)on1)NCC(=O)N1CCCCC1,x1052_1A,x1083_0A,1.0,0.688953488372093,x1052_1A-x1083_0A_460-P,x1052_1A,JIGQSNSDNOIBQE-CYBMUJFWSA-N
c1cncc(-c2nc3c(c(NCc4ccc5c(c4)OCO5)n2)CNC3)c1,x1498_0A,x2021_0A,0.784698071451154,0.7580700353598723,x1498_0A-x2021_0A_308-P,x1498_0A,UEPOURZMGCBKNK-UHFFFAOYSA-N
COCC(NC(=O)C(=O)Nc1cc2c(cc1C)OCO2)c1ccccn1,x1140_0A,x1498_0A,0.6448929496795309,0.7881835323695788,x1140_0A-x1498_0A_425-P,x1498_0A,MGQFKDGIQIFAHK-CQSZACIVSA-N
CC(NC(=O)c1cc(CN2CCCCC2)on1)C(=O)NCCO,x1052_1A,x1083_0A,1.0,0.6479099678456591,x1052_1A-x1083_0A_456-P,x1052_1A,IDZVROOQYCDOLN-NSHDSACASA-N
Cc1cc(C(=O)NC(C)CNC(=O)C(C)(C)N2CCCCC2)no1,x1052_1A,x1083_0A,1.0,0.6014693877551021,x1052_1A-x1083_0A_431-P,x1052_1A,LXVROZZCCRADEU-LBPRGKRZSA-N
O=C(Cc1ccc2c(c1)OCO2)NC1CC(c2ccon2)C1,x1140_0A,x1052_1A,0.376226826608506,1.0,x1140_0A-x1052_1A_160-P,x1052_1A,PAXGFFAOTPOMCO-HAQNSBGRSA-N
O=C(CCCc1nnc2ccccn12)NCc1ccc2c(c1)OCO2,x1594_0A,x1140_0A,0.6519198664440734,0.6846247794816122,x1594_0A-x1140_0A_140-P,x1140_0A,DFRAWSLJWXZBMC-UHFFFAOYSA-N
Nc1ccc(Sc2ccc3c(c2)OCO3)nc1,x1498_0A,x1140_0A,0.7998787143723469,0.617258883248731,x1498_0A-x1140_0A_422-P,x1498_0A,MWYAORLJVYRLOU-UHFFFAOYSA-N
O=C(Nc1ccc2nncn2c1)c1csc(-c2ccc3c(c2)OCO3)n1,x1594_0A,x1919_0A,0.7324074074074074,0.6955112818050888,x1594_0A-x1919_0A_101-P,x1594_0A,CRESFJFNIVTPMA-UHFFFAOYSA-N
O=C(CCc1ccc2c(c1)OCO2)Nc1ccc(N2CCCC2)nc1,x1498_0A,x2021_0A,0.8207547169811321,0.7459710144927536,x1498_0A-x2021_0A_199-P,x1498_0A,JPDKTNIRRPWDLT-UHFFFAOYSA-N
CS(=O)(=O)N(CC(=O)N1CCCCC1)c1ccc(C23CC4CC(CC(C4)C2)C3)cc1,x1071_0A,x1083_0A,0.7351624382964068,0.8120231213872833,x1071_0A-x1083_0A_93-P,x1083_0A,CDELUVSDRAQPTL-BZNJPFPYSA-N
c1ccc(-c2nc3c(c(NCc4ccc5c(c4)OCO5)n2)CCC3)nc1,x1498_0A,x1919_0A,0.8140458015267176,0.7434842249657064,x1498_0A-x1919_0A_493-P,x1498_0A,BMTNWMVUHLDJHC-UHFFFAOYSA-N
CC(C(N)=O)N(C)C(=O)c1cc(CN2CCCCC2)on1,x1052_1A,x1083_0A,1.0,0.690261126621777,x1052_1A-x1083_0A_430-P,x1052_1A,YOJSEFAFALGRSF-SNVBAGLBSA-N
CC(NC(=O)c1cccc2c1OCO2)c1nnc2ccccn12,x1140_0A,x1594_0A,0.6491408430019092,0.7525012301131704,x1140_0A-x1594_0A_41-P,x1594_0A,UTGJWXPJNLHDAC-JTQLQIEISA-N
COc1cccc(CNC(Cc2ccc3c(c2)OCO3)C(=O)O)n1,x1498_0A,x1140_0A,0.7932386085252328,0.5407215710153752,x1498_0A-x1140_0A_413-P,x1498_0A,BFRQLVVFAWYFAH-CYBMUJFWSA-N
c1cncc(-c2nc3c(c(NCc4ccc5c(c4)OCO5)n2)CNC3)c1,x1498_0A,x1919_0A,0.7922057677318785,0.7496292916619139,x1498_0A-x1919_0A_311-P,x1498_0A,UEPOURZMGCBKNK-UHFFFAOYSA-N
CN(C)C(=O)CNC1CCN(C(=O)CCN2CCCCC2)CC1,x1083_0A,x1071_0A,0.6026886945254292,0.8029011324596005,x1083_0A-x1071_0A_440-P,x1071_0A,ROYAKWHJGSTFOL-UHFFFAOYSA-N
O=C(c1cccnc1)N(Cc1ccc2c(c1)OCO2)c1ccccc1,x1140_0A,x2099_0A,0.6719113421808729,0.7566191446028513,x1140_0A-x2099_0A_435-P,x2099_0A,RATJTJHNJMCMKE-UHFFFAOYSA-N
O=C(Nc1nnc2ccc(Br)cn12)c1ccc2c(c1)OCO2,x1594_0A,x2021_0A,0.7451827242524917,0.6774362328319163,x1594_0A-x2021_0A_106-P,x1594_0A,DLFQFXSDIQWEHS-UHFFFAOYSA-N
CC(C(=O)Nc1nnc(-c2ccon2)s1)c1cccnc1,x1498_0A,x1052_1A,0.736482640865111,1.0,x1498_0A-x1052_1A_467-P,x1052_1A,QYGSZBJXHIHHSB-MRVPVSSYSA-N
O=C(CCc1ccc2c(c1)OCO2)NC1(c2ccccn2)CC1,x1498_0A,x2021_0A,0.7786941580756014,0.7059414646401206,x1498_0A-x2021_0A_499-P,x1498_0A,YDRJLGLJIAKBHG-UHFFFAOYSA-N
O=C(NCc1nnc2ccc(Cl)cn12)c1ccc2c(c1)OCO2,x1594_0A,x1919_0A,0.7221761486150273,0.6955535961708024,x1594_0A-x1919_0A_98-P,x1594_0A,OVRDRSZFAUENQC-UHFFFAOYSA-N
CS(=O)(=O)N(CC(=O)N1CCCCC1)c1ccc(C#N)cc1,x1071_0A,x1083_0A,0.655860349127182,0.7633935124027594,x1071_0A-x1083_0A_91-P,x1083_0A,GIJNHSLBWUTWHS-UHFFFAOYSA-N
O=C(Cc1cc(-c2ccc3c(c2)OCO3)on1)NCc1ccccc1,x1052_1A,x1140_0A,1.0,0.7112377418499868,x1052_1A-x1140_0A_498-P,x1052_1A,BPGRQNMHEMBQIV-UHFFFAOYSA-N
CC(C(N)=O)N1CCCN(C(=O)c2cccc3[nH]ccc23)CC1,x1020_0A,x0130_0A,0.6983866148789961,0.6240494296577946,x1020_0A-x0130_0A_397-P,x1020_0A,BOYYDOSVYGDIJX-LBPRGKRZSA-N
CCCC(NC(=O)Nc1cc(C)on1)c1nnc2ccccn12,x1052_1A,x1594_0A,1.0,0.6796901893287436,x1052_1A-x1594_0A_348-P,x1052_1A,GQMVCSYHDPOABB-NSHDSACASA-N
